generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,param_exploration,param_tau,rollout_epsilon,time_budget,max_rollout_depth,book_temperature,book_mode,use_book,use_db
1,1,8,"MCTS_PUCT",63.33,19.0,30,12,14,4,1594.9,3.3520,1.6456,0.1897,0.2000,69,1.9118,"PUCT_GUIDED",1,1
1,2,3,"MCTS_PUCT",61.67,18.5,30,11,15,4,1582.6,1.8833,2.3967,0.2645,0.2000,71,0.8575,"PUCT_GUIDED",1,1
1,3,2,"MCTS_PUCT",58.33,17.5,30,11,13,6,1558.5,1.2051,1.5636,0.3232,0.2000,71,1.6902,"GOOD",1,1
1,4,15,"MCTS_PUCT",55.00,16.5,30,11,11,8,1534.9,3.0426,0.5279,0.1172,0.2000,83,2.1380,"GOOD",1,1
1,5,5,"MCTS_PUCT",55.00,16.5,30,8,17,5,1534.9,2.7733,1.0298,0.2242,0.2000,97,0.2305,"ALL",1,1
1,6,6,"MCTS_PUCT",53.33,16.0,30,9,14,7,1523.2,1.1990,1.7732,0.1838,0.2000,132,1.1930,"GOOD",0,1
1,7,10,"MCTS_PUCT",53.33,16.0,30,9,14,7,1523.2,3.2733,1.0127,0.2714,0.2000,25,0.4443,"GOOD",1,1
1,8,9,"MCTS_PUCT",51.67,15.5,30,9,13,8,1511.6,2.3743,0.4942,0.3868,0.2000,78,1.2730,"BEST",1,1
1,9,7,"MCTS_PUCT",48.33,14.5,30,8,13,9,1488.4,1.2625,1.4129,0.3302,0.2000,79,2.4292,"PUCT_GUIDED",1,1
1,10,12,"MCTS_PUCT",46.67,14.0,30,6,16,8,1476.8,2.8808,0.3815,0.1686,0.2000,41,1.3661,"PUCT_GUIDED",1,1
1,11,13,"MCTS_PUCT",46.67,14.0,30,5,18,7,1476.8,1.1194,1.0511,0.3163,0.2000,34,1.9445,"BEST",1,1
1,12,0,"MCTS_PUCT",45.00,13.5,30,7,13,10,1465.1,1.5000,1.0000,0.1500,0.2000,70,1.0000,"PUCT_GUIDED",1,1
1,13,14,"MCTS_PUCT",45.00,13.5,30,5,17,8,1465.1,2.2906,2.3283,0.2541,0.2000,29,0.3255,"PUCT_GUIDED",1,1
1,14,11,"MCTS_PUCT",43.33,13.0,30,4,18,8,1453.4,1.1645,2.0860,0.2618,0.2000,55,0.6671,"PUCT_GUIDED",1,1
1,15,1,"MCTS_PUCT",40.00,12.0,30,5,14,11,1429.6,3.2915,1.0469,0.0889,0.2000,89,1.3643,"GOOD",1,1
1,16,4,"MCTS_PUCT",33.33,10.0,30,2,16,12,1379.6,0.9172,1.0296,0.0553,0.2000,37,1.2687,"PUCT_GUIDED",1,1
2,1,8,"MCTS_PUCT",58.33,17.5,30,11,13,6,1558.5,2.8146,1.8741,0.2419,0.2000,87,0.2901,"ALL",1,1
2,2,13,"MCTS_PUCT",58.33,17.5,30,11,13,6,1558.5,3.0965,1.3055,0.1708,0.2000,72,1.7429,"GOOD",1,1
2,3,9,"MCTS_PUCT",58.33,17.5,30,11,13,6,1558.5,2.2492,1.4913,0.2019,0.2000,28,0.1738,"PUCT_GUIDED",1,1
2,4,11,"MCTS_PUCT",55.00,16.5,30,12,9,9,1534.9,2.7236,1.1809,0.1726,0.2000,70,1.5314,"PUCT_GUIDED",1,1
2,5,0,"MCTS_PUCT",55.00,16.5,30,11,11,8,1534.9,3.3520,1.6456,0.1897,0.2000,69,1.9118,"PUCT_GUIDED",1,1
2,6,15,"MCTS_PUCT",55.00,16.5,30,9,15,6,1534.9,1.4967,1.7895,0.3193,0.2000,42,2.4415,"PUCT_GUIDED",1,1
