generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,param_exploration,param_tau,rollout_epsilon,time_budget,max_rollout_depth,book_temperature,book_mode,use_book,use_db
1,1,2,"MCTS_UCB1",63.89,11.5,18,5,13,0,1599.1,1.8058,0.0000,0.2027,0.0500,64,2.2883,"GOOD",1,0
1,2,5,"MCTS_UCB1",55.56,10.0,18,3,14,1,1538.8,1.7955,0.0000,0.3313,0.0500,80,2.0088,"BEST",1,1
1,3,0,"MCTS_UCB1",55.56,10.0,18,2,16,0,1538.8,1.4142,0.0000,0.1500,0.0500,70,1.0000,"PUCT_GUIDED",1,1
1,4,8,"MCTS_UCB1",55.56,10.0,18,2,16,0,1538.8,2.3139,0.0000,0.1977,0.0500,27,1.7236,"GOOD",1,1
1,5,7,"MCTS_UCB1",52.78,9.5,18,1,17,0,1519.3,1.2110,0.0000,0.1578,0.0500,34,0.9169,"BEST",1,1
1,6,1,"MCTS_UCB1",50.00,9.0,18,2,14,2,1500.0,0.8214,0.0000,0.3205,0.0500,92,1.7109,"BEST",1,1
1,7,4,"MCTS_UCB1",47.22,8.5,18,1,15,2,1480.7,1.7307,0.0000,0.1504,0.0500,70,2.1029,"PUCT_GUIDED",1,1
1,8,9,"MCTS_UCB1",44.44,8.0,18,1,14,3,1461.2,2.6732,0.0000,0.2038,0.0500,75,1.4195,"BEST",1,1
1,9,6,"MCTS_UCB1",38.89,7.0,18,0,14,4,1421.5,2.3290,0.0000,0.1905,0.0500,121,0.6695,"GOOD",1,1
1,10,3,"MCTS_UCB1",36.11,6.5,18,0,13,5,1400.9,1.6185,0.0000,0.0760,0.0500,140,0.4405,"BEST",1,1
2,1,0,"MCTS_UCB1",63.89,11.5,18,7,9,2,1599.1,1.8058,0.0000,0.2027,0.0500,64,2.2883,"GOOD",1,0
2,2,2,"MCTS_UCB1",61.11,11.0,18,6,10,2,1578.5,1.8058,0.0000,0.1939,0.0500,76,2.1680,"BEST",1,0
2,3,4,"MCTS_UCB1",55.56,10.0,18,4,12,2,1538.8,1.4142,0.0000,0.1500,0.0500,70,1.0000,"PUCT_GUIDED",1,1
2,4,5,"MCTS_UCB1",52.78,9.5,18,4,11,3,1519.3,1.7307,0.0000,0.1504,0.0500,70,2.2242,"BEST",1,1
2,5,8,"MCTS_UCB1",52.78,9.5,18,3,13,2,1519.3,1.9826,0.0000,0.1990,0.0500,69,1.1938,"GOOD",1,0
2,6,3,"MCTS_UCB1",50.00,9.0,18,3,12,3,1500.0,1.4427,0.0000,0.3264,0.0500,77,2.2749,"BEST",1,1
2,7,7,"MCTS_UCB1",47.22,8.5,18,3,11,4,1480.7,1.4535,0.0000,0.1923,0.0500,68,1.6986,"PUCT_GUIDED",1,1
2,8,9,"MCTS_UCB1",44.44,8.0,18,0,16,2,1461.2,2.1522,0.0000,0.1943,0.0500,116,1.7639,"GOOD",1,1
2,9,1,"MCTS_UCB1",36.11,6.5,18,0,13,5,1400.9,1.7955,0.0000,0.3313,0.0500,80,2.0088,"BEST",1,1
2,10,6,"MCTS_UCB1",36.11,6.5,18,0,13,5,1400.9,2.2747,0.0000,0.1554,0.0500,29,1.2071,"PUCT_GUIDED",1,1
3,1,3,"MCTS_UCB1",63.89,11.5,18,6,11,1,1599.1,1.8058,0.0000,0.2448,0.0500,76,2.1680,"BEST",1,0
3,2,5,"MCTS_UCB1",58.33,10.5,18,4,13,1,1558.5,1.8058,0.0000,0.1990,0.0500,65,2.3042,"BEST",1,0
3,3,6,"MCTS_UCB1",55.56,10.0,18,5,10,3,1538.8,1.8058,0.0000,0.2027,0.0500,64,2.2883,"GOOD",1,0
3,4,2,"MCTS_UCB1",55.56,10.0,18,2,16,0,1538.8,1.5210,0.0000,0.2410,0.0500,64,2.2883,"GOOD",0,0
3,5,1,"MCTS_UCB1",52.78,9.5,18,1,17,0,1519.3,1.8058,0.0000,0.1939,0.0500,76,2.1680,"BEST",1,0
3,6,4,"MCTS_UCB1",50.00,9.0,18,2,14,2,1500.0,1.8058,0.0000,0.2470,0.0500,75,2.4757,"ALL",0,0
3,7,7,"MCTS_UCB1",47.22,8.5,18,2,13,3,1480.7,1.7307,0.0000,0.1504,0.0500,70,2.2242,"BEST",1,1
3,8,8,"MCTS_UCB1",44.44,8.0,18,2,12,4,1461.2,1.8416,0.0000,0.1733,0.0500,70,1.6584,"GOOD",1,1
3,9,0,"MCTS_UCB1",44.44,8.0,18,1,14,3,1461.2,1.8058,0.0000,0.2027,0.0500,64,2.2883,"GOOD",1,0
3,10,9,"MCTS_UCB1",27.78,5.0,18,0,10,8,1334.0,1.7777,0.0000,0.2185,0.0500,69,1.7584,"GOOD",1,1
4,1,1,"MCTS_UCB1",61.11,11.0,18,5,12,1,1578.5,1.8058,0.0000,0.1990,0.0500,65,2.3042,"BEST",1,0
4,2,3,"MCTS_UCB1",58.33,10.5,18,4,13,1,1558.5,1.8058,0.0000,0.2470,0.0500,75,2.4757,"ALL",0,0
4,3,5,"MCTS_UCB1",55.56,10.0,18,3,14,1,1538.8,1.8058,0.0000,0.1939,0.0500,76,2.1680,"BEST",1,0
4,4,0,"MCTS_UCB1",52.78,9.5,18,2,15,1,1519.3,1.8058,0.0000,0.2448,0.0500,76,2.1680,"BEST",1,0
4,5,8,"MCTS_UCB1",50.00,9.0,18,3,12,3,1500.0,1.7120,0.0000,0.2448,0.0500,74,2.1680,"BEST",1,0
